type,title,band
既存曲,トラフィック・ジャム,Vivid BAD SQUAD
書き下ろし楽曲,フロムトーキョー,Leo/need
書き下ろし楽曲,Beat Eater,Vivid BAD SQUAD
既存曲,六兆年と一夜物語,Leo/need
既存曲,地球最後の告白を,MORE MORE JUMP！
既存曲,ビターチョコデコレーション,25時、ナイトコードで。
公募曲,そうだった！！,バーチャル・シンガー
既存曲,カゲロウデイズ,Leo/need
書き下ろし楽曲,アイスドロップ,MORE MORE JUMP！
書き下ろし楽曲,Glory Steady Go!,ワンダーランズ×ショウタイム
既存曲,チルドレンレコード,Vivid BAD SQUAD
書き下ろし楽曲,magic number,バーチャル・シンガー
書き下ろし楽曲,流星のパルス,Leo/need
既存曲,カトラリー,25時、ナイトコードで。
書き下ろし楽曲,再生,25時、ナイトコードで。
書き下ろし楽曲,群青讃歌,その他
既存曲,炉心融解,バーチャル・シンガー
既存曲,ロストワンの号哭,Leo/need
書き下ろし楽曲,マシンガンポエムドール,バーチャル・シンガー
既存曲,ベノム,25時、ナイトコードで。
既存曲,拝啓ドッペルゲンガー,バーチャル・シンガー
既存曲,テレキャスタービーボーイ,ワンダーランズ×ショウタイム
既存曲,トキヲ・ファンカ,バーチャル・シンガー
既存曲,悪魔の踊り方,Vivid BAD SQUAD
既存曲,だれかの心臓になれたなら,バーチャル・シンガー
既存曲,マシュマリー,MORE MORE JUMP！
既存曲,右肩の蝶,バーチャル・シンガー
既存曲,ray,Leo/need
既存曲,"Hello,world!",Leo/need
公募曲,しっくおぶはうす！,バーチャル・シンガー
書き下ろし楽曲,ショウタイム・ルーラー,ワンダーランズ×ショウタイム
既存曲,Happy Halloween,MORE MORE JUMP！
書き下ろし楽曲,ロウワー,25時、ナイトコードで。
既存曲,初音天地開闢神話,バーチャル・シンガー
既存曲,オルターエゴ,Vivid BAD SQUAD
書き下ろし楽曲,STAGE OF SEKAI,Leo/need
既存曲,からくりピエロ,MORE MORE JUMP！
書き下ろし楽曲,ワールドワイドワンダー,MORE MORE JUMP！
既存曲,悪ノ娘,バーチャル・シンガー
既存曲,悪ノ召使,バーチャル・シンガー
書き下ろし楽曲,去り人達のワルツ,バーチャル・シンガー
公募曲,ラストスコア,バーチャル・シンガー
既存曲,フィクサー,ワンダーランズ×ショウタイム
書き下ろし楽曲,ミライ,Vivid BAD SQUAD
既存曲,ゴーストルール,Leo/need
既存曲,ヴィラン,25時、ナイトコードで。
既存曲,サンドリヨン 10th Anniversary,バーチャル・シンガー
既存曲,少女レイ,MORE MORE JUMP！
既存曲,ガランド,Vivid BAD SQUAD
既存曲,エンドマークに希望と涙を添えて,その他
既存曲,the EmpErroR,その他
既存曲,Don't Fight The Music,その他
書き下ろし楽曲,にっこり^^調査隊のテーマ,ワンダーランズ×ショウタイム
書き下ろし楽曲,トリコロージュ,25時、ナイトコードで。
既存曲,心拍数♯0822,Leo/need
既存曲,うっせぇわ,25時、ナイトコードで。
既存曲,踊,Vivid BAD SQUAD
既存曲,君色マリンスノウ,バーチャル・シンガー
既存曲,愛して愛して愛して,25時、ナイトコードで。
書き下ろし楽曲,Flyer!,Vivid BAD SQUAD
書き下ろし楽曲,Peaky Peaky,Leo/need
公募曲,ジウダス,バーチャル・シンガー
既存曲,ナンセンス文学,ワンダーランズ×ショウタイム
既存曲,心予報,MORE MORE JUMP！
既存曲,僕らまだアンダーグラウンド,Leo/need
既存曲,Miku,バーチャル・シンガー
書き下ろし楽曲,メタモリボン,MORE MORE JUMP！
既存曲,いーあるふぁんくらぶ,ワンダーランズ×ショウタイム
既存曲,雨とペトラ,Vivid BAD SQUAD
書き下ろし楽曲,ノマド,25時、ナイトコードで。
既存曲,マトリョシカ,バーチャル・シンガー
既存曲,ドーナツホール 2024,バーチャル・シンガー
既存曲,砂の惑星,バーチャル・シンガー
既存曲,ルカルカ★ナイトフィーバー,バーチャル・シンガー
既存曲,ピアノ×フォルテ×スキャンダル,バーチャル・シンガー
既存曲,千年の独奏歌,バーチャル・シンガー
書き下ろし楽曲,88☆彡,ワンダーランズ×ショウタイム
公募曲,ONESELF,バーチャル・シンガー
既存曲,PaⅢ.SENSATION,Vivid BAD SQUAD
既存曲,ダーリンダンス,MORE MORE JUMP！
書き下ろし楽曲,オーダーメイド,Leo/need
書き下ろし楽曲,アイデンティティ,その他
書き下ろし楽曲,青色絵具,その他
書き下ろし楽曲,コスモスパイス,その他
書き下ろし楽曲,徳川カップヌードル禁止令,その他
書き下ろし楽曲,サラマンダー,その他
書き下ろし楽曲,イフ,MORE MORE JUMP！
既存曲,ブラック★ロックシューター,バーチャル・シンガー
既存曲,妄想感傷代償連盟,25時、ナイトコードで。
既存曲,リモコン,ワンダーランズ×ショウタイム
書き下ろし楽曲,月光,Vivid BAD SQUAD
既存曲,神のまにまに,ワンダーランズ×ショウタイム
書き下ろし楽曲,Awake Now,Vivid BAD SQUAD
既存曲,阿吽のビーツ,Vivid BAD SQUAD
書き下ろし楽曲,バグ,25時、ナイトコードで。
既存曲,グッバイ宣言,ワンダーランズ×ショウタイム
既存曲,ヴァンパイア,MORE MORE JUMP！
公募曲,未完成讃歌,バーチャル・シンガー
書き下ろし楽曲,星空のメロディー,ワンダーランズ×ショウタイム
既存曲,脳漿炸裂ガール,バーチャル・シンガー
既存曲,ぼくらの16bit戦争,バーチャル・シンガー
既存曲,メリュー,25時、ナイトコードで。
既存曲,エイリアンエイリアン,ワンダーランズ×ショウタイム
書き下ろし楽曲,街,Vivid BAD SQUAD
書き下ろし楽曲,てらてら,Leo/need
既存曲,フロイライン＝ビブリォチカ,バーチャル・シンガー
既存曲,踊れオーケストラ,ワンダーランズ×ショウタイム
書き下ろし楽曲,パラソルサイダー,MORE MORE JUMP！
既存曲,ロストエンファウンド,Leo/need
既存曲,YY,Vivid BAD SQUAD
公募曲,それでもいいんだよ,バーチャル・シンガー
書き下ろし楽曲,君の夜をくれ,25時、ナイトコードで。
既存曲,フューチャー・イヴ,バーチャル・シンガー
書き下ろし楽曲,Voices,Leo/need
既存曲,ジェヘナ,25時、ナイトコードで。
既存曲,Calc.,Leo/need
書き下ろし楽曲,虚ろを扇ぐ,Vivid BAD SQUAD
書き下ろし楽曲,Journey,その他
既存曲,天ノ弱,Leo/need
既存曲,アンハッピーリフレイン,バーチャル・シンガー
既存曲,フォニイ,25時、ナイトコードで。
既存曲,ダブルラリアット,バーチャル・シンガー
既存曲,インビジブル,バーチャル・シンガー
既存曲,エゴロック,ワンダーランズ×ショウタイム
既存曲,Bad ∞ End ∞ Night,バーチャル・シンガー
既存曲,トリノコシティ,MORE MORE JUMP！
既存曲,こちら、幸福安心委員会です。,バーチャル・シンガー
既存曲,DAYBREAK FRONTLINE,Vivid BAD SQUAD
書き下ろし楽曲,ÅMARA(大未来電脳),バーチャル・シンガー
書き下ろし楽曲,DREAM PLACE,MORE MORE JUMP！
既存曲,泥中に咲く,25時、ナイトコードで。
公募曲,いちにのさんで,バーチャル・シンガー
既存曲,帝国少女,Vivid BAD SQUAD
既存曲,Change me,バーチャル・シンガー
既存曲,ラブカ？,ワンダーランズ×ショウタイム
書き下ろし楽曲,the WALL,Leo/need
書き下ろし楽曲,Iなんです,25時、ナイトコードで。
既存曲,パラジクロロベンゼン,バーチャル・シンガー
既存曲,星屑ユートピア,バーチャル・シンガー
書き下ろし楽曲,フレー,Leo/need
既存曲,あったかいと,バーチャル・シンガー
書き下ろし楽曲,フロート・プランナー,MORE MORE JUMP！
既存曲,ノンブレス・オブリージュ,25時、ナイトコードで。
既存曲,ロンリーユニバース,MORE MORE JUMP！
公募曲,陽だまりのセツナ,バーチャル・シンガー
書き下ろし楽曲,仮死化,Vivid BAD SQUAD
公募曲,What's up? Pop!,バーチャル・シンガー
既存曲,腐れ外道とチョコレゐト,バーチャル・シンガー
既存曲,夜もすがら君想ふ,Leo/need
既存曲,ネトゲ廃人シュプレヒコール,ワンダーランズ×ショウタイム
既存曲,カンタレラ,バーチャル・シンガー
既存曲,FREELY TOMORROW,バーチャル・シンガー
既存曲,気まぐれメルシィ,MORE MORE JUMP！
既存曲,それがあなたの幸せとしても,25時、ナイトコードで。
既存曲,リンちゃんなう！,バーチャル・シンガー
既存曲,フェレス,Vivid BAD SQUAD
既存曲,夜明けと蛍,バーチャル・シンガー
書き下ろし楽曲,星空オーケストラ,ワンダーランズ×ショウタイム
書き下ろし楽曲,Flyway,Leo/need
既存曲,p.h.,バーチャル・シンガー
既存曲,Goodbye,バーチャル・シンガー
既存曲,SnowMix♪,バーチャル・シンガー
公募曲,星界ちゃんと可不ちゃんのおつかい合騒曲,バーチャル・シンガー
公募曲,天使の翼。,バーチャル・シンガー
既存曲,Copycat,バーチャル・シンガー
既存曲,レイニースノードロップ,バーチャル・シンガー
既存曲,アイロニ,25時、ナイトコードで。
既存曲,1925,ワンダーランズ×ショウタイム
書き下ろし楽曲,私は、私達は,MORE MORE JUMP！
書き下ろし楽曲,ひつじがいっぴき,Vivid BAD SQUAD
既存曲,"Hello, Worker",Leo/need
公募曲,Where shall we go?,バーチャル・シンガー
既存曲,ココロ,バーチャル・シンガー
既存曲,ストロボラスト,バーチャル・シンガー
既存曲,パレットには君がいっぱい,バーチャル・シンガー
既存曲,Q,バーチャル・シンガー
公募曲,ヤミナベ!!!!,バーチャル・シンガー
既存曲,Booo!,MORE MORE JUMP！
既存曲,39,バーチャル・シンガー
書き下ろし楽曲,Mr. Showtime,ワンダーランズ×ショウタイム
既存曲,エゴイスト,Vivid BAD SQUAD
公募曲,エピローグに君はいない,バーチャル・シンガー
既存曲,Highlight,バーチャル・シンガー
既存曲,アトラクトライト,Leo/need
書き下ろし楽曲,ザムザ,25時、ナイトコードで。
既存曲,トラッシュ・アンド・トラッシュ！,バーチャル・シンガー
既存曲,Vampire's ∞ pathoS,バーチャル・シンガー
書き下ろし楽曲,Be The MUSIC!,その他
既存曲,METEOR,バーチャル・シンガー
既存曲,インタビュア,バーチャル・シンガー
既存曲,私の恋はヘルファイア,バーチャル・シンガー
既存曲,スノーマン,バーチャル・シンガー
既存曲,深海少女,MORE MORE JUMP！
既存曲,魔法みたいなミュージック！,バーチャル・シンガー
書き下ろし楽曲,相生,Leo/need
公募曲,名も無き革命,バーチャル・シンガー
既存曲,おこちゃま戦争,ワンダーランズ×ショウタイム
既存曲,絶え間なく藍色,Vivid BAD SQUAD
既存曲,命ばっかり,25時、ナイトコードで。
書き下ろし楽曲,ももいろの鍵,MORE MORE JUMP！
書き下ろし楽曲,キティ,25時、ナイトコードで。
既存曲,快晴,Leo/need
既存曲,悪食娘コンチータ,バーチャル・シンガー
既存曲,眠らせ姫からの贈り物,バーチャル・シンガー
既存曲,円尾坂の仕立屋,バーチャル・シンガー
既存曲,悪徳のジャッジメント,バーチャル・シンガー
既存曲,Sharing The World,バーチャル・シンガー
既存曲,セツナトリップ,MORE MORE JUMP！
既存曲,シャンティ,Vivid BAD SQUAD
公募曲,エターナルアリア,バーチャル・シンガー
既存曲,Blue Star,バーチャル・シンガー
書き下ろし楽曲,箱庭のコラル,ワンダーランズ×ショウタイム
公募曲,人生,バーチャル・シンガー
既存曲,Wonder Style,バーチャル・シンガー
書き下ろし楽曲,下剋上,Vivid BAD SQUAD
既存曲,嗚呼、素晴らしきニャン生,ワンダーランズ×ショウタイム
公募曲,スターダストメドレー,バーチャル・シンガー
書き下ろし楽曲,チームメイト,MORE MORE JUMP！
既存曲,glow,Leo/need
既存曲,とても素敵な六月でした,25時、ナイトコードで。
既存曲,UNDERWATER,バーチャル・シンガー
既存曲,きゅうくらりん,MORE MORE JUMP！
既存曲,Afterglow,バーチャル・シンガー
既存曲,太陽系デスコ,ワンダーランズ×ショウタイム
公募曲,心拍ペアリング,バーチャル・シンガー
書き下ろし楽曲,演劇,25時、ナイトコードで。
書き下ろし楽曲,星を繋ぐ,Leo/need
既存曲,脳内革命ガール,Vivid BAD SQUAD
既存曲,Decade,バーチャル・シンガー
書き下ろし楽曲,我らステインバスターズ！,MORE MORE JUMP！
公募曲,新人類,バーチャル・シンガー
公募曲,ずんだパーリナイ,バーチャル・シンガー
公募曲,Disco No.39,バーチャル・シンガー
既存曲,サマータイムレコード,Leo/need
書き下ろし楽曲,リアライズ,Vivid BAD SQUAD
書き下ろし楽曲,キラピピ★キラピカ,ワンダーランズ×ショウタイム
書き下ろし楽曲,ボトルケーキ,バーチャル・シンガー
既存曲,心做し,25時、ナイトコードで。
既存曲,ブループラネット,バーチャル・シンガー
既存曲,HERO,バーチャル・シンガー
公募曲,CIRCUS PANIC!!!,バーチャル・シンガー
既存曲,白い雪のプリンセスは,MORE MORE JUMP！
書き下ろし楽曲,Un-Lock,バーチャル・シンガー
既存曲,ラッキー☆オーブ,バーチャル・シンガー
書き下ろし楽曲,NEO,その他
書き下ろし楽曲,アイムマイン,バーチャル・シンガー
既存曲,天樂,Leo/need
既存曲,まにまに,バーチャル・シンガー
既存曲,メランコリック,MORE MORE JUMP！
既存曲,豚になってyeah yeah,バーチャル・シンガー
既存曲,恋は戦争,Vivid BAD SQUAD
既存曲,デビルじゃないもん,バーチャル・シンガー
既存曲,すきなことだけでいいです,ワンダーランズ×ショウタイム
既存曲,番凩,バーチャル・シンガー
既存曲,神っぽいな,25時、ナイトコードで。
既存曲,Dear,バーチャル・シンガー
書き下ろし楽曲,CR詠ZY,Vivid BAD SQUAD
公募曲,Cool Me Down,バーチャル・シンガー
既存曲,悪役にキスシーンを,MORE MORE JUMP！
既存曲,我儘姫,ワンダーランズ×ショウタイム
書き下ろし楽曲,purpose,Leo/need
書き下ろし楽曲,はぐ,MORE MORE JUMP！
書き下ろし楽曲,トワイライトライト,25時、ナイトコードで。
既存曲,春嵐,Vivid BAD SQUAD
書き下ろし楽曲,ARQETYPE,バーチャル・シンガー
公募曲,On&On,バーチャル・シンガー
既存曲,キュートなカノジョ,25時、ナイトコードで。
書き下ろし楽曲,フィラメントフィーバー,ワンダーランズ×ショウタイム
既存曲,さよならプリンセス,MORE MORE JUMP！
書き下ろし楽曲,Beyond the way,Vivid BAD SQUAD
書き下ろし楽曲,ショウタイム×オーディエンス,バーチャル・シンガー
既存曲,難聴系男子が倒せない,バーチャル・シンガー
公募曲,オーバーコード,バーチャル・シンガー
既存曲,スロウダウナー,25時、ナイトコードで。
既存曲,初めての恋が終わる時,Leo/need
書き下ろし楽曲,25時の情熱,25時、ナイトコードで。
既存曲,金木犀,Vivid BAD SQUAD
既存曲,一千光年,バーチャル・シンガー
既存曲,強風オールバック,ワンダーランズ×ショウタイム
既存曲,ヒアソビ,バーチャル・シンガー
既存曲,エンヴィーベイビー,25時、ナイトコードで。
既存曲,『んっあっあっ。』,バーチャル・シンガー
既存曲,くうになる,MORE MORE JUMP！
既存曲,ハイドアンド・シーク,Leo/need
既存曲,folern,その他
書き下ろし楽曲,MOTTO!!!,MORE MORE JUMP！
既存曲,Sage,その他
公募曲,心泥夢(syndrome),バーチャル・シンガー
書き下ろし楽曲,サイバーパンクデッドボーイ,ワンダーランズ×ショウタイム
既存曲,MarbleBlue.,その他
既存曲,マーシャル・マキシマイザー,Vivid BAD SQUAD
既存曲,え？あぁ、そう。,Vivid BAD SQUAD
公募曲,リレイアウター,バーチャル・シンガー
公募曲,おどロボ,バーチャル・シンガー
書き下ろし楽曲,世界を照らすテトラッド,ワンダーランズ×ショウタイム
既存曲,ハッピーチートデー,バーチャル・シンガー
公募曲,十六歳の心臓,バーチャル・シンガー
書き下ろし楽曲,limbo,バーチャル・シンガー
書き下ろし楽曲,レグルス,Leo/need
既存曲,古書き下ろし楽曲屋敷殺人事件,ワンダーランズ×ショウタイム
書き下ろし楽曲,JUMPIN’ OVER !,MORE MORE JUMP！
既存曲,ラグトレイン,25時、ナイトコードで。
書き下ろし楽曲,インテグラル,Leo/need
既存曲,ド屑,25時、ナイトコードで。
公募曲,明鏡止水,バーチャル・シンガー
既存曲,ハジメテノオト,バーチャル・シンガー
既存曲,flos,MORE MORE JUMP！
公募曲,アコトバ,バーチャル・シンガー
書き下ろし楽曲,幽光、1/fのゆらめき,バーチャル・シンガー
書き下ろし楽曲,嬢王,バーチャル・シンガー
既存曲,1000年生きてる,ワンダーランズ×ショウタイム
既存曲,幾望の月,Leo/need
書き下ろし楽曲,blender,Vivid BAD SQUAD
既存曲,えれくとりっく・えんじぇぅ,バーチャル・シンガー
既存曲,レッドランドマーカー,バーチャル・シンガー
既存曲,あいのうた,バーチャル・シンガー
既存曲,ガーネットの涙,バーチャル・シンガー
既存曲,だんだん早くなる,バーチャル・シンガー
書き下ろし楽曲,私は雨,25時、ナイトコードで。
既存曲,酔いどれ知らず,Vivid BAD SQUAD
公募曲,おぎゃりないざー,バーチャル・シンガー
公募曲,シルバーコレクター,バーチャル・シンガー
書き下ろし楽曲,すれすれ,Leo/need
書き下ろし楽曲,烈火,Vivid BAD SQUAD
既存曲,超最終鬼畜妹フランドール・Ｓ,その他
既存曲,Bad Apple!! feat.SEKAI,25時、ナイトコードで。
既存曲,"Help me, ERINNNNNN!!",バーチャル・シンガー
既存曲,おちゃめ機能,ワンダーランズ×ショウタイム
書き下ろし楽曲,ときめきジェットコースター,バーチャル・シンガー
既存曲,東京テディベア,Leo/need
既存曲,熱異常,25時、ナイトコードで。
公募曲,I know 愛脳.,バーチャル・シンガー
既存曲,だめにんげんだ!,MORE MORE JUMP！
書き下ろし楽曲,オペラ！スペースオペラ！,ワンダーランズ×ショウタイム
既存曲,抜錨,Leo/need
既存曲,きょうもハレバレ,ワンダーランズ×ショウタイム
書き下ろし楽曲,Supernova,MORE MORE JUMP！
書き下ろし楽曲,エンパープル,25時、ナイトコードで。
公募曲,合成するミライ,バーチャル・シンガー
書き下ろし楽曲,LEADER,バーチャル・シンガー
既存曲,ポッピンキャンディ☆フィーバー！,MORE MORE JUMP！
書き下ろし楽曲,ULTRA C,Vivid BAD SQUAD
公募曲,ダイジョブですか？,バーチャル・シンガー
書き下ろし楽曲,成敗いたAAAAAす！,ワンダーランズ×ショウタイム
既存曲,林檎売りの泡沫少女,Leo/need
公募曲,メリーゴーラウンド,バーチャル・シンガー
既存曲,マインドブランド,25時、ナイトコードで。
公募曲,イガク,バーチャル・シンガー
公募曲,あちこちデートさん,バーチャル・シンガー
書き下ろし楽曲,キラー,MORE MORE JUMP！
既存曲,WAVE,Vivid BAD SQUAD
公募曲,彗星ノ銀河,バーチャル・シンガー
書き下ろし楽曲,夏夜ノ唄,バーチャル・シンガー
既存曲,QUEEN,ワンダーランズ×ショウタイム
既存曲,アンテナ39,バーチャル・シンガー
既存曲,ちがう!!!,ワンダーランズ×ショウタイム
既存曲,スーパーヒーロー,MORE MORE JUMP！
既存曲,カルチャ,バーチャル・シンガー
公募曲,レイヤーノート,バーチャル・シンガー
書き下ろし楽曲,それでも僕らは歌うことをやめない,Leo/need
書き下ろし楽曲,Unpoison,バーチャル・シンガー
書き下ろし楽曲,熱風,その他
既存曲,モザイクロール (Reloaded),Leo/need
既存曲,メズマライザー,バーチャル・シンガー
既存曲,如月アテンション,MORE MORE JUMP！
既存曲,メインキャラクター,バーチャル・シンガー
既存曲,コールボーイ,Vivid BAD SQUAD
既存曲,きみとぼくのレゾナンス,バーチャル・シンガー
既存曲,転生林檎,ワンダーランズ×ショウタイム
既存曲,Blackjack,バーチャル・シンガー
既存曲,Shadow Shadow,25時、ナイトコードで。
書き下ろし楽曲,生命性シンドロウム,バーチャル・シンガー
書き下ろし楽曲,化けの花,25時、ナイトコードで。
既存曲,キャットフード,MORE MORE JUMP！
公募曲,メモリア,バーチャル・シンガー
公募曲,脳天,バーチャル・シンガー
書き下ろし楽曲,フューエル,Vivid BAD SQUAD
書き下ろし楽曲,その音が鳴るなら,Leo/need
既存曲,妄想アスパルテーム,MORE MORE JUMP！
既存曲,キャットラビング,25時、ナイトコードで。
書き下ろし楽曲,ぼくのかみさま,ワンダーランズ×ショウタイム
公募曲,パリィ,バーチャル・シンガー
既存曲,みかぼし,バーチャル・シンガー
書き下ろし楽曲,余花にみとれて,25時、ナイトコードで。
公募曲,シークレット・シーカー,バーチャル・シンガー
書き下ろし楽曲,はしる! とおく! とどく!,MORE MORE JUMP！
既存曲,花溺れ,Vivid BAD SQUAD
書き下ろし楽曲,はじまりの未来,バーチャル・シンガー
既存曲,混沌ブギ,ワンダーランズ×ショウタイム
既存曲,アンヘル,バーチャル・シンガー
既存曲,プロトディスコ,バーチャル・シンガー
既存曲,CH4NGE,Vivid BAD SQUAD
既存曲,snooze,MORE MORE JUMP！
既存曲,ワールド・ランプシェード [reunion],Leo/need
既存曲,のだ,バーチャル・シンガー
既存曲,サイハテ,25時、ナイトコードで。
既存曲,Henceforth,Leo/need
既存曲,厨病激発ボーイ,ワンダーランズ×ショウタイム
書き下ろし楽曲,ヘイヴン,Vivid BAD SQUAD
公募曲,夏に透明,バーチャル・シンガー
既存曲,パンダヒーロー,バーチャル・シンガー
既存曲,結ンデ開イテ羅刹ト骸,バーチャル・シンガー
書き下ろし楽曲,ファイアダンス,Vivid BAD SQUAD
書き下ろし楽曲,そこに在る、光。,25時、ナイトコードで。
書き下ろし楽曲,Worlders,その他
書き下ろし楽曲,FUN!!,MORE MORE JUMP！
既存曲,終焉逃避行,Leo/need
書き下ろし楽曲,スマイル*シンフォニー,ワンダーランズ×ショウタイム
書き下ろし楽曲,SToRY,Leo/need
既存曲,クリスタルスノウ,バーチャル・シンガー
書き下ろし楽曲,ハローセカイ,バーチャル・シンガー
書き下ろし楽曲,アンチユー,MORE MORE JUMP！
公募曲,ルルブ,バーチャル・シンガー
書き下ろし楽曲,フュージョン,その他
既存曲,ルーマー,Vivid BAD SQUAD
既存曲,Fire◎Flower (Rerec),その他
既存曲,三日月ステップ,Vivid BAD SQUAD
既存曲,オーバーライド,MORE MORE JUMP！
既存曲,Packaged,バーチャル・シンガー
既存曲,ライアーダンサー,ワンダーランズ×ショウタイム
公募曲,プラネットヒーロー,バーチャル・シンガー
既存曲,透明エレジー,Leo/need
書き下ろし楽曲,D/N/A,25時、ナイトコードで。
既存曲,ドレミファロンド,ワンダーランズ×ショウタイム
書き下ろし楽曲,Sympathy,Leo/need
既存曲,Call!!,バーチャル・シンガー
